med_id,principio_activo,reglas_pediatria,estado_pediatria,nivel_uso,escenarios
MED-0542,SULFATO DE MAGNESIO,1,HABILITADO – ESPECIALISTA/MONITORIZACIÓN,URGENCIA/ESPECIALISTA,Asma aguda grave / potencialmente mortal – IV
MED-0543,SULFATO DE MANGANESO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0544,SULFATO DE POTASIO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0545,SULFATO DE ZINC,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0546,SULFATO FERROSO,2,HABILITADO,GENERAL | MONITORIZACIÓN,Prevención de deficiencia de hierro | Tratamiento de deficiencia de hierro / anemia ferropénica
MED-0547,SULPIRIDA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0548,SULTAMICILINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0549,SUMATRIPTAN,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0550,SUNITINIB,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0551,SUVOREXANT,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0552,TACROLIMUS,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0553,TADALAFILO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0554,TALAZOPARIB,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0555,TAMOXIFENO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0556,TAMSULOSINA CLORHIDRATO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0557,TAPENTADOL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0558,TELMISARTAN,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0559,TEMOZOLAMIDA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0560,TENOFOVIR,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0561,TEOFILINA ANHIDRA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0562,TERAZOSINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0563,TERBINAFINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0564,TERBUTALINA SULFATO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0565,TERIFLUNOMIDA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0566,TESTOSTERONA UNDECANOATO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0567,TETRABENAZINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0568,TETRACICLINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0569,TIAMINA CLORHIDRATO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0570,TIBOLONA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0571,TICAGRELOR,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0572,TINIDAZOL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0573,TIOCOLCHICOSIDO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
